Number,TEOS concentration,Alcohol concentration,Ammonia concentration,Water concentration,NaCl concentration,Agitation,Temperature,Time,Mixture volume,Mixture mass,Mixture mass error,Container volume,Aggregate speed,Size,Standard deviation,Polydispersity,Measurement technique,Concentration Units,Alcohol,Year,Reference
1,0.2,,1.0,2.0,0,,25,,,,,125,,79.9,7.3,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
2,0.25,,0.5,7.5,0,,25,,,,,125,,392.0,2.6,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
3,0.17,,0.5,0.5,0,,25,,,,,125,,13.4,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
4,0.17,,0.5,1.0,0,,25,,,,,125,,26.9,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
5,0.17,,0.5,2.0,0,,25,,,,,125,,83.9,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
6,0.17,,0.5,3.0,0,,25,,,,,125,,154.4,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
7,0.17,,0.5,3.0,0,,25,,,,,125,,241.6,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
8,0.17,,0.5,5.0,0,,25,,,,,125,,245.0,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
9,0.17,,0.5,7.5,0,,25,,,,,125,,288.6,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
10,0.17,,0.5,10.0,0,,25,,,,,125,,275.2,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
11,0.17,,0.5,11.9,0,,25,,,,,125,,285.2,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
12,0.17,,0.5,12.5,0,,25,,,,,125,,318.8,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
13,0.17,,0.5,14.5,0,,25,,,,,125,,268.5,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
14,0.17,,1.0,1.0,0,,25,,,,,125,,50.4,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
15,0.17,,1.0,2.0,0,,25,,,,,125,,137.6,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
16,0.17,,1.0,3.0,0,,25,,,,,125,,278.5,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
17,0.17,,1.0,4.9,0,,25,,,,,125,,449.7,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
18,0.17,,1.0,7.0,0,,25,,,,,125,,483.2,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
19,0.17,,1.0,8.1,0,,25,,,,,125,,463.1,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
20,0.17,,1.0,10.0,0,,25,,,,,125,,456.4,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
21,0.17,,1.0,12.0,0,,25,,,,,125,,416.1,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
22,0.17,,1.0,14.0,0,,25,,,,,125,,372.5,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
23,0.17,,1.0,15.0,0,,25,,,,,125,,382.6,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
24,0.17,,2.0,5.1,0,,25,,,,,125,,614.1,,,TEM,M,EtOH,1988,10.1016/0022-3093(88)90187-1
